,CityID,City,Humidity,Temp,Latitude,Cloudiness,WindSpeed,MaxTemp,Longitude,LatLong,CountryCode
96,3691954,Sechura,88,71.29,-5.56,71,8.08,71.29,-80.82,"{'lon': -80.82, 'lat': -5.56}",PE
97,6167817,Torbay,85,22.51,47.67,90,10.29,25.0,-52.73,"{'lon': -52.73, 'lat': 47.67}",CA
98,4068590,Huntsville,28,40.44,34.73,1,9.17,44.6,-86.59,"{'lon': -86.59, 'lat': 34.73}",US
99,568954,Chernaya Kholunitsa,95,16.88,58.85,100,6.89,16.88,51.72,"{'lon': 51.72, 'lat': 58.85}",RU
100,3356213,Khorixas,44,68.54,-20.37,34,2.44,68.54,14.97,"{'lon': 14.97, 'lat': -20.37}",NA
101,1015776,Bredasdorp,85,64.0,-34.53,36,10.0,64.0,20.04,"{'lon': 20.04, 'lat': -34.53}",ZA
102,964432,Port Alfred,96,62.01,-33.59,92,1.99,62.01,26.89,"{'lon': 26.89, 'lat': -33.59}",ZA
103,5924351,Clyde River,75,-14.8,70.47,1,12.75,-14.8,-68.59,"{'lon': -68.59, 'lat': 70.47}",CA
104,5855927,Hilo,57,69.31,19.73,90,9.17,77.0,-155.09,"{'lon': -155.09, 'lat': 19.73}",US
105,1637001,Biak,72,83.48,-0.91,96,8.05,83.48,122.88,"{'lon': 122.88, 'lat': -0.91}",ID
106,1507390,Dikson,95,-13.23,73.51,100,14.88,-13.23,80.55,"{'lon': 80.55, 'lat': 73.51}",RU
107,3422683,Kangaatsiaq,90,12.34,68.31,100,7.63,12.34,-53.46,"{'lon': -53.46, 'lat': 68.31}",GL
108,1244926,Hambantota,94,82.4,6.12,40,12.75,82.4,81.12,"{'lon': 81.12, 'lat': 6.12}",LK
109,1028434,Quelimane,94,73.4,-17.88,20,2.24,73.4,36.89,"{'lon': 36.89, 'lat': -17.88}",MZ
110,2454268,Koutiala,21,77.09,12.39,86,8.88,77.09,-5.46,"{'lon': -5.46, 'lat': 12.39}",ML
111,2112309,Katsuura,81,44.35,35.13,75,4.7,46.0,140.3,"{'lon': 140.3, 'lat': 35.13}",JP
112,3369157,Cape Town,63,64.36,-33.93,0,8.05,64.99,18.42,"{'lon': 18.42, 'lat': -33.93}",ZA
113,390054,Baft,91,37.49,29.23,99,7.25,37.49,56.61,"{'lon': 56.61, 'lat': 29.23}",IR
114,5117949,Freeport,63,26.53,40.66,1,1.81,32.0,-73.58,"{'lon': -73.58, 'lat': 40.66}",US
115,120972,Pishva,95,33.53,35.31,75,13.87,33.8,51.73,"{'lon': 51.73, 'lat': 35.31}",IR
116,2654728,Bridlington,100,41.07,54.08,28,6.93,43.0,-0.19,"{'lon': -0.19, 'lat': 54.08}",GB
117,2654970,Brae,87,48.2,60.4,100,31.09,48.2,-1.35,"{'lon': -1.35, 'lat': 60.4}",GB
